StarColor_blue,StarColor_green,StarColor_orange,StarColor_red,StarColor_white,StarColor_yellow,StarSize_dwarf,StarSize_giant,StarSize_super giant,DistFromStar,PlanetNumber,isMoon,ThermalMean,class
0,0,1,0,0,0,1,0,0,6478,5,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1076,1,0.0,1.125,0.0
1,0,0,0,0,0,1,0,0,2329,2,0.0,1.125,1.0
1,0,0,0,0,0,1,0,0,3041,3,0.0,1.125,1.0
1,0,0,0,0,0,1,0,0,3638,4,0.0,1.125,0.0
1,0,0,0,0,0,1,0,0,4374,5,0.0,1.125,0.0
1,0,0,0,0,0,1,0,0,5382,6,0.0,1.125,0.0
1,0,0,0,0,0,1,0,0,5382,6,1.0,1.125,1.0
1,0,0,0,0,0,1,0,0,5382,6,1.0,1.125,0.0
1,0,0,0,0,0,1,0,0,6927,7,0.0,1.125,0.0
1,0,0,0,0,0,1,0,0,7376,8,0.0,1.125,1.0
0,0,0,0,1,0,1,0,0,438,1,0.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,438,1,1.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,438,1,1.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,1020,2,0.0,2.1666666666666665,1.0
0,0,0,0,1,0,1,0,0,3957,3,0.0,2.1666666666666665,1.0
0,0,0,0,1,0,1,0,0,4776,4,0.0,2.1666666666666665,1.0
0,0,0,0,1,0,1,0,0,5209,5,0.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,5209,5,1.0,2.1666666666666665,1.0
0,0,0,0,1,0,1,0,0,5209,5,1.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,5973,6,0.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,5973,6,1.0,2.1666666666666665,0.0
0,0,0,0,1,0,1,0,0,5973,6,1.0,2.1666666666666665,1.0
0,0,0,0,1,0,1,0,0,5973,6,1.0,2.1666666666666665,0.0
0,0,1,0,0,0,1,0,0,1078,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2598,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3228,3,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3985,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3985,4,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3985,4,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3985,4,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6767,5,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,4093,1,0.0,1.0,1.0
1,0,0,0,0,0,1,0,0,5639,2,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,7923,3,0.0,1.0,0.0
0,0,1,0,0,0,0,1,0,5117,1,0.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,5117,1,1.0,1.6666666666666667,1.0
0,0,1,0,0,0,0,1,0,5117,1,1.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,5723,2,0.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,5723,2,1.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,5723,2,1.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,7814,3,0.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,7814,3,1.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,7814,3,1.0,1.6666666666666667,0.0
0,0,1,0,0,0,0,1,0,7814,3,1.0,1.6666666666666667,0.0
0,0,1,0,0,0,1,0,0,719,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2387,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3553,3,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,4183,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6221,5,0.0,1.0,1.0
0,0,1,0,0,0,1,0,0,6989,6,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7635,7,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7635,7,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7635,7,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7635,7,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7635,7,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1208,1,0.0,1.0,1.0
1,0,0,0,0,0,1,0,0,1861,2,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1861,2,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1861,2,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1861,2,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,2509,3,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,2509,3,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,3155,4,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,5188,5,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,5827,6,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,5827,6,1.0,1.0,1.0
0,0,0,0,1,0,1,0,0,5336,1,0.0,1.0,1.0
1,0,0,0,0,0,1,0,0,964,1,0.0,1.1666666666666667,0.0
1,0,0,0,0,0,1,0,0,2194,2,0.0,1.1666666666666667,0.0
1,0,0,0,0,0,1,0,0,2780,3,0.0,1.1666666666666667,0.0
1,0,0,0,0,0,1,0,0,3204,4,0.0,1.1666666666666667,1.0
1,0,0,0,0,0,1,0,0,4691,5,0.0,1.1666666666666667,1.0
1,0,0,0,0,0,1,0,0,5513,6,0.0,1.1666666666666667,1.0
0,1,0,0,0,0,1,0,0,3726,1,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1731,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3278,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3278,1,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,4964,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6968,3,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1217,1,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1217,1,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1217,1,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1217,1,1.0,1.0,1.0
0,1,0,0,0,0,1,0,0,1717,2,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,3482,3,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,6628,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,542,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,542,1,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,2671,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,2671,2,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3421,3,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,5351,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6005,5,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6487,6,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,7282,7,0.0,1.0,1.0
0,0,0,0,0,1,1,0,0,7282,7,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,7282,7,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,4724,1,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,660,1,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,1861,2,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,2786,3,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,3544,4,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,3544,4,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,5293,5,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6065,6,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6474,7,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,7809,8,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,7809,8,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,7809,8,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,7809,8,1.0,1.25,1.0
1,0,0,0,0,0,1,0,0,7809,8,1.0,1.25,0.0
0,0,0,1,0,0,1,0,0,647,1,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,647,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,2486,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,2914,3,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4081,4,0.0,1.0,1.0
0,0,0,1,0,0,1,0,0,4081,4,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,5980,5,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7501,6,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7501,6,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1155,1,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1155,1,1.0,1.0,1.0
0,1,0,0,0,0,1,0,0,2557,2,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,4133,3,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,4133,3,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,4133,3,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,4133,3,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,7321,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,2015,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,2015,1,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3158,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,4729,3,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,885,1,0.0,1.3333333333333333,0.0
0,1,0,0,0,0,1,0,0,1993,2,0.0,1.3333333333333333,0.0
0,1,0,0,0,0,1,0,0,1993,2,1.0,1.3333333333333333,0.0
0,1,0,0,0,0,1,0,0,2592,3,0.0,1.3333333333333333,0.0
0,0,0,0,0,1,1,0,0,515,1,0.0,1.125,0.0
0,0,0,0,0,1,1,0,0,1458,2,0.0,1.125,1.0
0,0,0,0,0,1,1,0,0,2396,3,0.0,1.125,0.0
0,0,0,0,0,1,1,0,0,3401,4,0.0,1.125,0.0
0,0,0,0,0,1,1,0,0,4088,5,0.0,1.125,0.0
0,0,0,0,0,1,1,0,0,4565,6,0.0,1.125,0.0
0,0,0,0,0,1,1,0,0,5255,7,0.0,1.125,0.0
0,0,0,0,0,1,1,0,0,7652,8,0.0,1.125,1.0
0,0,0,0,1,0,1,0,0,853,1,0.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,853,1,1.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,1698,2,0.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,2291,3,0.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,2291,3,1.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,2291,3,1.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,2995,4,0.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,4724,5,0.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,4724,5,1.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,4724,5,1.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,4724,5,1.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,4724,5,1.0,2.142857142857143,1.0
0,0,0,0,1,0,1,0,0,5142,6,0.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,5142,6,1.0,2.142857142857143,0.0
0,0,0,0,1,0,1,0,0,5946,7,0.0,2.142857142857143,1.0
0,0,1,0,0,0,1,0,0,5202,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,5202,1,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,5202,1,1.0,1.0,0.0
0,0,1,0,0,0,0,1,0,1100,1,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,1813,2,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,2536,3,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,3886,4,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,4527,5,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,5346,6,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,5917,7,0.0,3.75,0.0
0,0,1,0,0,0,0,1,0,5917,7,1.0,3.75,1.0
0,0,1,0,0,0,0,1,0,5917,7,1.0,3.75,1.0
0,0,1,0,0,0,0,1,0,5917,7,1.0,3.75,0.0
0,0,1,0,0,0,0,1,0,6609,8,0.0,3.75,0.0
0,0,0,1,0,0,1,0,0,2476,1,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,3509,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4652,3,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,5207,4,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6667,5,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6667,5,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6667,5,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6667,5,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7499,6,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7499,6,1.0,1.0,1.0
0,0,0,1,0,0,1,0,0,7499,6,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7499,6,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,1002,1,0.0,1.2857142857142858,0.0
1,0,0,0,0,0,1,0,0,1002,1,1.0,1.2857142857142858,1.0
1,0,0,0,0,0,1,0,0,1002,1,1.0,1.2857142857142858,1.0
1,0,0,0,0,0,1,0,0,1002,1,1.0,1.2857142857142858,1.0
1,0,0,0,0,0,1,0,0,1809,2,0.0,1.2857142857142858,0.0
1,0,0,0,0,0,1,0,0,2787,3,0.0,1.2857142857142858,0.0
1,0,0,0,0,0,1,0,0,3945,4,0.0,1.2857142857142858,0.0
1,0,0,0,0,0,1,0,0,5065,5,0.0,1.2857142857142858,1.0
1,0,0,0,0,0,1,0,0,6928,6,0.0,1.2857142857142858,0.0
1,0,0,0,0,0,1,0,0,7652,7,0.0,1.2857142857142858,1.0
0,0,0,0,1,0,1,0,0,3719,1,0.0,1.0,1.0
0,0,0,0,1,0,1,0,0,6426,2,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,6426,2,1.0,1.0,1.0
0,0,0,0,1,0,1,0,0,6426,2,1.0,1.0,1.0
0,0,0,0,0,1,1,0,0,714,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1469,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,2782,3,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3451,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3451,4,1.0,1.0,1.0
0,0,0,0,0,1,1,0,0,4354,5,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,7175,6,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,1183,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2286,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3369,3,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,4512,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,4512,4,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,5640,5,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6399,6,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6399,6,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6399,6,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6399,6,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6399,6,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,954,1,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,954,1,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,954,1,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,1565,2,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,2500,3,0.0,1.25,1.0
1,0,0,0,0,0,1,0,0,3419,4,0.0,1.25,1.0
1,0,0,0,0,0,1,0,0,4783,5,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,5278,6,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,5278,6,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,5278,6,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,5278,6,1.0,1.25,1.0
1,0,0,0,0,0,1,0,0,6010,7,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6010,7,1.0,1.25,1.0
1,0,0,0,0,0,1,0,0,6010,7,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6010,7,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6010,7,1.0,1.25,1.0
1,0,0,0,0,0,1,0,0,6459,8,0.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6459,8,1.0,1.25,0.0
1,0,0,0,0,0,1,0,0,6459,8,1.0,1.25,1.0
1,0,0,0,0,0,1,0,0,6459,8,1.0,1.25,1.0
0,0,0,0,1,0,1,0,0,3962,1,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,5250,2,0.0,1.0,0.0
0,0,0,0,1,0,1,0,0,6165,3,0.0,1.0,0.0
1,0,0,0,0,0,1,0,0,4055,1,0.0,1.0,1.0
0,0,0,0,0,1,1,0,0,403,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1160,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1160,2,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3668,3,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3668,3,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3668,3,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3668,3,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3668,3,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,5922,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6875,5,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6875,5,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6875,5,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6875,5,1.0,1.0,1.0
0,0,0,0,0,1,1,0,0,1050,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1050,1,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1050,1,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1732,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1732,2,1.0,1.0,0.0
0,0,0,0,0,1,1,0,0,4676,3,0.0,1.0,1.0
0,0,0,0,0,1,1,0,0,532,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,532,1,1.0,1.0,1.0
0,0,0,0,0,1,1,0,0,2132,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,5607,3,0.0,1.0,1.0
0,0,0,0,0,1,1,0,0,7311,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1137,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,2619,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,4835,3,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,5496,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6647,5,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6647,5,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,2657,1,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,3621,2,0.0,1.0,1.0
0,1,0,0,0,0,1,0,0,5965,3,0.0,1.0,1.0
0,1,0,0,0,0,1,0,0,1039,1,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,1039,1,1.0,1.0,0.0
0,1,0,0,0,0,1,0,0,3111,2,0.0,1.0,1.0
0,1,0,0,0,0,1,0,0,3912,3,0.0,1.0,0.0
0,1,0,0,0,0,1,0,0,5774,4,0.0,1.0,1.0
0,1,0,0,0,0,1,0,0,6592,5,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,321,1,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1183,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,2788,3,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,3384,4,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4357,5,0.0,1.0,1.0
0,0,0,1,0,0,1,0,0,5492,6,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6827,7,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7709,8,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7709,8,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7709,8,1.0,1.0,1.0
0,1,0,0,0,0,1,0,0,526,1,0.0,1.2,0.0
0,1,0,0,0,0,1,0,0,1309,2,0.0,1.2,0.0
0,1,0,0,0,0,1,0,0,3764,3,0.0,1.2,1.0
0,1,0,0,0,0,1,0,0,4965,4,0.0,1.2,1.0
0,1,0,0,0,0,1,0,0,5677,5,0.0,1.2,0.0
0,0,0,1,0,0,1,0,0,1648,1,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1648,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1648,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1648,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1648,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,5970,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1054,1,0.0,1.0,1.0
0,0,0,1,0,0,1,0,0,2641,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4375,3,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,5245,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,2114,1,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3015,2,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3015,2,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3015,2,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,3015,2,1.0,1.0,0.0
0,0,1,0,0,0,1,0,0,4193,3,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,4922,4,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,5743,5,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,6744,6,0.0,1.0,0.0
0,0,1,0,0,0,1,0,0,7553,7,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,341,1,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1120,2,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,1746,3,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,3889,4,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,4966,5,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,5721,6,0.0,1.0,0.0
0,0,0,0,0,1,1,0,0,6897,7,0.0,1.0,0.0
0,0,0,1,0,0,0,1,0,4477,1,0.0,1.0,0.0
0,0,0,1,0,0,0,1,0,4477,1,1.0,1.0,0.0
0,0,0,1,0,0,0,1,0,4477,1,1.0,1.0,0.0
0,0,0,1,0,0,0,1,0,4477,1,1.0,1.0,0.0
0,0,0,1,0,0,0,1,0,5248,2,0.0,1.0,0.0
0,0,0,1,0,0,0,1,0,5248,2,1.0,1.0,0.0
0,0,0,1,0,0,0,1,0,6838,3,0.0,1.0,0.0
0,0,0,1,0,0,0,1,0,7490,4,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4666,1,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4666,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4666,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4666,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6777,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6777,2,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,6777,2,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,7529,3,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,3457,1,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,3457,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,3457,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,3457,1,1.0,1.0,1.0
0,0,0,1,0,0,1,0,0,3457,1,1.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4939,2,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,4939,2,1.0,1.0,1.0
0,0,0,1,0,0,1,0,0,7296,3,0.0,1.0,0.0
0,0,0,1,0,0,1,0,0,1216,1,0.0,1.0,0.0
